,width,longitude,type,average_people_value
391,55.76970455,37.61646575,commercial,1000.0
392,55.769616299999996,37.61590565,commercial,1000.0
393,55.76992465,37.61529779999999,commercial,1000.0
394,55.77055705,37.6153606,apartments,500.0
395,55.769333599999996,37.6180502,commercial,1000.0
396,55.768840100000006,37.619753700000004,apartments,500.0
397,55.76905135,37.6174228,apartments,500.0
398,55.76954685,37.61745725,apartments,500.0
399,55.76785035,37.62429765,office,1000.0
400,55.76755165,37.6250499,apartments,500.0
401,55.768362350000004,37.62489405,office,1000.0
402,55.76790185,37.630224549999994,apartments,500.0
403,55.770725999999996,37.61720495,commercial,1000.0
404,55.766728349999994,37.607031649999996,commercial,1000.0
405,55.76813055,37.60900585,apartments,500.0
406,55.767533549999996,37.608588999999995,commercial,1000.0
407,55.767206,37.608239049999995,apartments,500.0
408,55.767224150000004,37.6076105,commercial,1000.0
409,55.7673136,37.60672015,apartments,500.0
410,55.767629850000006,37.6094025,commercial,1000.0
411,55.767976149999996,37.61807585,commercial,1000.0
412,55.7689382,37.61866315,commercial,1000.0
413,55.768968900000004,37.6193279,commercial,1000.0
414,55.76854635,37.619107299999996,commercial,1000.0
415,55.7686442,37.618550549999995,commercial,1000.0
416,55.768844400000006,37.61891985,commercial,1000.0
417,55.76855515,37.61970705,commercial,1000.0
418,55.76824745,37.617627,commercial,1000.0
419,55.768749150000005,37.6202778,commercial,1000.0
420,55.7686079,37.620295049999996,commercial,1000.0
421,55.767799,37.627809299999996,office,1000.0
422,55.77011315,37.6239845,university,1000.0
423,55.767817300000004,37.631159999999994,apartments,500.0
424,55.757975,37.59738635,apartments,500.0
425,55.7580356,37.5967593,apartments,500.0
426,55.767062300000006,37.61182445,apartments,500.0
427,55.766527800000006,37.61296125,apartments,500.0
428,55.7662865,37.6132984,apartments,500.0
429,55.76645365,37.61368725,apartments,500.0
430,55.7666974,37.613366,apartments,500.0
431,55.76606005,37.613530850000004,apartments,500.0
432,55.76618945,37.6169606,apartments,500.0
433,55.765131249999996,37.615220300000004,apartments,500.0
434,55.7649075,37.6154085,apartments,500.0
435,55.764576700000006,37.615525000000005,apartments,500.0
436,55.7546522,37.5976754,office,1000.0
437,55.75480905,37.597987450000005,apartments,500.0
438,55.743625699999996,37.60339945,apartments,500.0
439,55.7432952,37.601692,apartments,500.0
440,55.7423203,37.6032265,apartments,500.0
441,55.7421449,37.602383200000006,apartments,500.0
442,55.7705683,37.62262565,apartments,500.0
443,55.7710721,37.62241975,office,1000.0
444,55.771498550000004,37.62235905,office,1000.0
445,55.77066565,37.624935699999995,office,1000.0
446,55.77063045,37.623931049999996,apartments,500.0
447,55.77068865,37.62437315,office,1000.0
448,55.770468050000005,37.62326805,office,1000.0
449,55.7713146,37.62449395,office,1000.0
450,55.77092575,37.623698250000004,apartments,500.0
451,55.7715214,37.62482025,apartments,500.0
452,55.77129625,37.624946699999995,office,1000.0
453,55.7715179,37.6293173,apartments,500.0
454,55.76273485,37.60026515,apartments,500.0
455,55.7642048,37.60085565,apartments,500.0
456,55.76434775,37.6012354,apartments,500.0
457,55.76398155,37.59971885,apartments,500.0
458,55.76419885,37.60021315,apartments,500.0
459,55.76458535,37.60074779999999,apartments,500.0
460,55.7644085,37.5996491,apartments,500.0
461,55.764587500000005,37.60010115,apartments,500.0
462,55.76418725,37.5990927,apartments,500.0
463,55.764488549999996,37.5990735,apartments,500.0
464,55.76459825,37.59875125,apartments,500.0
465,55.76503415,37.600532799999996,commercial,1000.0
466,55.76583065,37.60273235,apartments,500.0
467,55.7653528,37.6021085,commercial,1000.0
468,55.76526845,37.60356665,apartments,500.0
469,55.7712029,37.628064550000005,apartments,500.0
470,55.771256949999994,37.62555665,office,1000.0
471,55.7707448,37.62782665,office,1000.0
472,55.7707292,37.62561745,apartments,500.0
473,55.77089235,37.626713699999996,apartments,500.0
474,55.77078425,37.62860835,apartments,500.0
475,55.77105435,37.62935065,commercial,1000.0
476,55.771118,37.630504,apartments,500.0
477,55.77102725,37.628550399999995,apartments,500.0
478,55.77004725,37.625608150000005,apartments,500.0
479,55.7699968,37.62763095,apartments,500.0
480,55.7700805,37.6272841,commercial,1000.0
481,55.7699457,37.6260293,apartments,500.0
482,55.7700319,37.62639505,apartments,500.0
483,55.769996899999995,37.626774499999996,apartments,500.0
484,55.770407500000005,37.6262892,apartments,500.0
485,55.77034895,37.6257826,apartments,500.0
486,55.77043125,37.626841799999994,apartments,500.0
487,55.770582700000006,37.630275749999996,apartments,500.0
488,55.7700631,37.6288893,commercial,1000.0
489,55.769694799999996,37.62648625,commercial,1000.0
490,55.76953185,37.6274863,apartments,500.0
491,55.76974225,37.6277219,apartments,500.0
492,55.7697644,37.6273944,apartments,500.0
493,55.769557649999996,37.62960185,apartments,500.0
494,55.7695478,37.62931595,office,1000.0
495,55.7516244,37.6054202,apartments,500.0
496,55.76812365,37.6290446,apartments,500.0
497,55.7452795,37.5976496,apartments,500.0
498,55.7454901,37.5962222,apartments,500.0
499,55.745379150000005,37.5967884,apartments,500.0
500,55.74570595,37.5979311,apartments,500.0
501,55.745611600000004,37.598915500000004,apartments,500.0
502,55.74515194999999,37.59626395,commercial,1000.0
503,55.7460629,37.59762,commercial,1000.0
504,55.7377344,37.6008983,apartments,500.0
505,55.7397637,37.60236140000001,apartments,500.0
506,55.74063795,37.60286295,apartments,500.0
507,55.74044605,37.60176995,apartments,500.0
508,55.76459045,37.606689349999996,commercial,1000.0
509,55.76537089999999,37.607920050000004,apartments,500.0
510,55.76572710000001,37.60863625,office,1000.0
511,55.76597185,37.60935135,office,1000.0
512,55.76578355,37.609800050000004,apartments,500.0
513,55.740700450000006,37.60116334999999,apartments,500.0
514,55.740273599999995,37.60220935,apartments,500.0
515,55.74083975,37.5966802,apartments,500.0
516,55.7418585,37.59643925,apartments,500.0
517,55.73299865,37.614783450000004,apartments,500.0
518,55.73196345,37.610226,apartments,500.0
519,55.732130600000005,37.611163700000006,apartments,500.0
520,55.731512300000006,37.6105494,apartments,500.0
521,55.73336855,37.6185493,office,1000.0
522,55.7343314,37.616508249999995,apartments,500.0
523,55.73449545,37.617454800000004,apartments,500.0
524,55.7316229,37.616926649999996,apartments,500.0
525,55.74289055,37.6345459,commercial,1000.0
526,55.7434325,37.6356094,commercial,1000.0
527,55.7303424,37.6189192,apartments,500.0
528,55.73162255,37.6237438,apartments,500.0
529,55.73256895,37.6238063,office,1000.0
530,55.7315425,37.624967299999994,office,1000.0
531,55.7329765,37.6245507,commercial,1000.0
532,55.7324833,37.625176749999994,commercial,1000.0
533,55.7326341,37.6257661,commercial,1000.0
534,55.733695,37.62467085,apartments,500.0
535,55.7381411,37.62861255,apartments,500.0
536,55.73988475,37.623474200000004,office,1000.0
537,55.735253549999996,37.61832595,apartments,500.0
538,55.736752550000006,37.61593235,apartments,500.0
539,55.73619875,37.612544650000004,apartments,500.0
540,55.734747999999996,37.61239625,apartments,500.0
541,55.73402915,37.6116333,apartments,500.0
542,55.7410081,37.6179253,office,1000.0
543,55.731723900000006,37.62896175,apartments,500.0
544,55.7318317,37.6301237,apartments,500.0
545,55.731483850000004,37.62998485,apartments,500.0
546,55.73109275,37.629809699999996,apartments,500.0
547,55.7323554,37.6305026,apartments,500.0
548,55.73238565,37.63092,apartments,500.0
549,55.73267665,37.6322452,apartments,500.0
550,55.73294885,37.6321048,apartments,500.0
551,55.733162899999996,37.63175205,apartments,500.0
552,55.73424955,37.63307195,apartments,500.0
553,55.73403465,37.63354565,apartments,500.0
554,55.73348875000001,37.632579,apartments,500.0
555,55.73467719999999,37.630748,apartments,500.0
556,55.735652599999995,37.630398400000004,apartments,500.0
557,55.73572145,37.6297196,apartments,500.0
558,55.735067,37.630588200000005,commercial,1000.0
559,55.7352221,37.63214935,commercial,1000.0
560,55.735082899999995,37.63137355,apartments,500.0
561,55.73538025,37.6337835,commercial,1000.0
562,55.733704700000004,37.6348067,apartments,500.0
563,55.734894499999996,37.63503865,apartments,500.0
564,55.73304105,37.635214649999995,apartments,500.0
565,55.732768,37.63519555,apartments,500.0
566,55.7339196,37.63757805,apartments,500.0
567,55.73439775,37.6383894,apartments,500.0
568,55.7345051,37.63887455,apartments,500.0
569,55.7348516,37.63802225,apartments,500.0
570,55.7355303,37.637544399999996,apartments,500.0
571,55.73425295,37.640431,apartments,500.0
572,55.735924749999995,37.639178400000006,apartments,500.0
573,55.736283150000006,37.63857045,apartments,500.0
574,55.73502765,37.6388128,apartments,500.0
575,55.7363878,37.639134299999995,apartments,500.0
576,55.7355289,37.63828945,apartments,500.0
577,55.7355011,37.63938005,apartments,500.0
578,55.733261,37.6399641,apartments,500.0
